40.72755|-74.05392|P-15|428 Newark Ave Jersey City NJ|2015-12-10T13:11:51
40.71162|-74.06297|P-16|303 Pacific Ave Jersey City NJ|2015-12-10T13:34:13
40.76813|-74.15902|P-17|1814 McCarter Hwy Newark NJ|2015-12-07T07:13:17
40.6889|-74.09015|P-18|Princeton Ave Jersey City NJ|2015-12-10T13:02:35
40.69378|-74.08922|P-19|49 Danforth Ave Jersey City NJ|2015-12-10T13:15:32
40.68773|-74.09115|P-2|New Jersey Tpke Ext Jersey City NJ|2015-03-13T07:44:57
40.68927|-74.08968|P-20|Princeton Ave Jersey City NJ|2015-12-10T12:58:37
40.68885|-74.09038|P-21|256 Princeton Ave Jersey City NJ|2015-12-10T13:02:54
40.70023|-74.09438|P-22|1735 John F Kennedy Blvd Jersey City NJ|2015-12-08T12:59:35
40.68767|-74.09087|P-3|New Jersey Tpke Ext Jersey City NJ|2015-12-08T15:12:15
40.68912|-74.09|P-4|Princeton Ave Jersey City NJ|2015-08-31T15:43:20
40.68782|-74.09112|P-5|New Jersey Tpke Ext Jersey City NJ|2015-09-10T15:09:02
40.70843|-74.08525|P-6|170 Bergen Ave Jersey City NJ|2015-12-10T12:19:43
40.71223|-74.07568|P-8|271 Forrest St Jersey City NJ|2015-12-10T12:55:10
40.69762|-74.09277|P-9|234 Old Bergen Rd Jersey City NJ|2015-12-10T13:33:58
40.68805|-74.09183|PL-1|Unknown Address Jersey City NJ|2015-02-01T14:39:34
40.6877|-74.09215|PL-2|198 Princeton Ave Jersey City NJ|2015-12-10T13:25:03
40.68737|-74.09147|PL-3|New Jersey Tpke Ext Jersey City NJ|2015-02-26T14:26:17
40.68772|-74.09173|PL-4|New Jersey Tpke Ext Jersey City NJ|2015-12-08T14:39:58
40.68787|-74.09193|PL-7|Unknown Address Jersey City NJ|2014-10-24T07:38:36
40.68747|-74.09098|R-11|New Jersey Tpke Ext Jersey City NJ|2015-12-04T13:29:39
40.76798|-74.15868|R-4|82 Riverside Ave Newark NJ|2015-11-05T14:53:58
40.70442|-74.08665|R-5|116 Martin Luther King Jr Dr Jersey City NJ|2015-12-10T13:30:43
40.68903|-74.08995|R-6|Princeton Ave Jersey City NJ|2015-11-07T16:06:37
40.74067|-74.04885|R-9|47 Ferry St Jersey City NJ|2015-12-10T11:54:11
40.68933|-74.08967|R3|Princeton Ave Jersey City NJ|2015-12-09T12:17:47
40.68822|-74.08977|S-1|New Jersey Tpke Ext Jersey City NJ|2015-11-16T10:31:30
40.689|-74.08975|S-10|New Jersey Tpke Ext Jersey City NJ|2015-09-15T11:18:52
40.74752|-74.05973|S-12|4 Reserve Ave Jersey City NJ|2015-12-10T13:34:37
40.72668|-74.04238|S-13|207 8th St Jersey City NJ|2015-12-10T13:33:55
40.7009|-74.09153|S-14|40 McAdoo Ave Jersey City NJ|2015-12-10T13:33:58
40.73377|-74.05318|S-15|38 Fleet St Jersey City NJ|2015-12-10T13:34:26
40.70868|-74.07708|S-16|651 Ocean Ave Jersey City NJ|2015-12-10T13:34:36
40.71853|-74.05435|S-2|11 Brook St Jersey City NJ|2015-11-18T09:21:02
40.71117|-74.0918|s-21|162 Audubon Ave Jersey City NJ|2015-12-08T07:39:23
40.71747|-74.05532|S-27|474 Grand St Jersey City NJ|2015-08-07T14:16:03
40.68883|-74.08958|S-28|New Jersey Tpke Ext Jersey City NJ|2015-12-07T08:59:57
40.68913|-74.08923|S-3|New Jersey Tpke Ext Jersey City NJ|2015-01-23T14:20:29
40.74065|-74.04887|S-4|47 Ferry St Jersey City NJ|2015-12-10T13:33:51
40.68885|-74.09003|S-5|New Jersey Tpke Ext Jersey City NJ|2015-11-24T11:28:19
40.68955|-74.08857|S-6|21 Linden Ave E Jersey City NJ|2015-06-24T13:06:59
40.71553|-74.08687|S-7|416 West Side Ave Jersey City NJ|2015-12-10T13:33:31
40.71942|-74.07222|S-8|13 Emory St Jersey City NJ|2015-12-10T13:34:54
40.70437|-74.09028|S-9|1879 John F Kennedy Blvd Jersey City NJ|2015-12-10T13:34:07
40.68697|-74.0918|TC-1|New Jersey Tpke Ext Jersey City NJ|2015-12-10T13:12:46
40.68853|-74.09018|TC-2|New Jersey Tpke Ext Jersey City NJ|2015-10-08T11:07:17
40.76755|-74.15937|TC-3|1794 McCarter Hwy Newark NJ|2015-07-30T11:52:17
40.68788|-74.09223|TR-1|198 Princeton Ave Jersey City NJ|2015-12-04T14:24:01
40.68777|-74.09233|TR-2|198 Princeton Ave Jersey City NJ|2015-11-24T11:17:00
