"year","geoid","ZIP_code","title_field","value"
"2013","86000US07304","07304","In family households - In male householder, no wife present, family - Relatives",3656
"2013","86000US07304","07304","In family households - In male householder, no wife present, family - Nonrelatives",395
"2013","86000US07304","07304","In family households - In female householder, no husband present, family",12220
"2013","86000US07304","07304","In family households - In female householder, no husband present, family - Relatives",11603
"2013","86000US07304","07304","In family households - In female householder, no husband present, family - Nonrelatives",617
"2013","86000US07304","07304","In nonfamily households",6513
"2013","86000US07304","07304","Total Population 25 Years and over",27487
"2013","86000US07304","07304","Male Population 25 Years and over",12564
"2013","86000US07304","07304","Male - No schooling completed",107
"2013","86000US07304","07304","Male - Nursery to 4th grade",184
"2013","86000US07304","07304","Male - 5th and 6th grade",251
"2013","86000US07304","07304","Male - 7th and 8th grade",493
"2013","86000US07304","07304","Male - 9th grade",305
"2013","86000US07304","07304","Male - 10th grade",229
"2013","86000US07304","07304","Male - 11th grade",372
"2013","86000US07304","07304","Male - 12th grade, no diploma",392
"2013","86000US07304","07304","Male - High school graduate, GED, or alternative",3915
"2013","86000US07304","07304","Male - Some college, less than 1 year",475
"2013","86000US07304","07304","Male - Some college, 1 or more years, no degree",1883
"2013","86000US07304","07304","Male - Associate's degree",594
"2013","86000US07304","07304","Male - Bachelor's degree",2327
"2013","86000US07304","07304","Male - Master's degree",721
"2013","86000US07304","07304","Male - Professional school degree",210
"2013","86000US07304","07304","Male - Doctorate degree",106
"2013","86000US07304","07304","Female Population 25 Years and over",14923
"2013","86000US07304","07304","Female - No schooling completed",303
"2013","86000US07304","07304","Female - Nursery to 4th grade",122
"2013","86000US07304","07304","Female - 5th and 6th grade",436
"2013","86000US07304","07304","Female - 7th and 8th grade",510
"2013","86000US07304","07304","Female - 9th grade",158
"2013","86000US07304","07304","Female - 10th grade",451
"2013","86000US07304","07304","Female - 11th grade",326
"2013","86000US07304","07304","Female - 12th grade, no diploma",298
"2013","86000US07304","07304","Female - High school graduate, GED, or alternative",4603
"2013","86000US07304","07304","Female - Some college, less than 1 year",345
"2013","86000US07304","07304","Female - Some college, 1 or more years, no degree",2384
"2013","86000US07304","07304","Female - Associate's degree",844
"2013","86000US07304","07304","Female - Bachelor's degree",3312
"2013","86000US07304","07304","Female - Master's degree",657
"2013","86000US07304","07304","Female - Professional school degree",135
"2013","86000US07304","07304","Female - Doctorate degree",39
"2013","86000US07305","07305","Total Population",63033
"2013","86000US07305","07305","Male Population",28795
"2013","86000US07305","07305","Male Under 5 years",2012
"2013","86000US07305","07305","Male 5 to 9 years",2148
"2013","86000US07305","07305","Male 10 to 14 years",1986
"2013","86000US07305","07305","Male 15 to 17 years",1226
"2013","86000US07305","07305","Male 18 and 19 years",871
"2013","86000US07305","07305","Male 20 years",644
"2013","86000US07305","07305","Male 21 years",523
"2013","86000US07305","07305","Male 22 to 24 years",1571
"2013","86000US07305","07305","Male 25 to 29 years",2094
"2013","86000US07305","07305","Male 30 to 34 years",2222
"2013","86000US07305","07305","Male 35 to 39 years",1793
"2013","86000US07305","07305","Male 40 to 44 years",2094
"2013","86000US07305","07305","Male 45 to 49 years",2130
"2013","86000US07305","07305","Male 50 to 54 years",1867
"2013","86000US07305","07305","Male 55 to 59 years",1790
"2013","86000US07305","07305","Male 60 and 61 years",516
"2013","86000US07305","07305","Male 62 to 64 years",637
"2013","86000US07305","07305","Male 65 and 66 years",362
"2013","86000US07305","07305","Male 67 to 69 years",661
"2013","86000US07305","07305","Male 70 to 74 years",762
"2013","86000US07305","07305","Male 75 to 79 years",284
"2013","86000US07305","07305","Male 80 to 84 years",332
"2013","86000US07305","07305","Male 85 years and over",270
"2013","86000US07305","07305","Female Population",34238
"2013","86000US07305","07305","Female Under 5 years",2542
"2013","86000US07305","07305","Female 5 to 9 years",2157
"2013","86000US07305","07305","Female 10 to 14 years",2010
"2013","86000US07305","07305","Female 15 to 17 years",1698
